name,mass,year,reclat,reclong,GeoLocation
Derrick Peak A78008,59400,1978,-80.06667,156.38333,"(-80.066670, 156.383330)"
Łowicz,59000,1935,52,19.91667,"(52.000000, 19.916670)"
Bohumilitz,59000,1829,49.05,13.76667,"(49.050000, 13.766670)"
Piedade do Bagre,59000,1922,-18.94167,-44.98333,"(-18.941670, -44.983330)"
Quijingue,59000,1984,-10.75,-39.21667,"(-10.750000, -39.216670)"
Guadalupe y Calvo,58630,1971,26.1,-106.96667,"(26.100000, -106.966670)"
Aliskerovo,58400,1977,67.88333,167.5,"(67.883330, 167.500000)"
Ivanpah,58000,1880,35.33333,-115.31667,"(35.333330, -115.316670)"
Phillips County (stone),57900,1901,40,-99.25,"(40.000000, -99.250000)"
Julesburg,57900,1983,39.975,-102.26667,"(39.975000, -102.266670)"
Miami,57700,1930,35.66667,-100.6,"(35.666670, -100.600000)"
Gladstone (stone),57300,1936,36.3,-104,"(36.300000, -104.000000)"
Warburton Range,56930,1963,-26.28333,126.66667,"(-26.283330, 126.666670)"
Farmville,56000,1934,35.55,-77.53333,"(35.550000, -77.533330)"
Northwest Africa 4493,56000,2005,,,
Ashmore,55400,1969,32.9,-102.28333,"(32.900000, -102.283330)"
Jenkins,55400,1946,36.82444,-93.76111,"(36.824440, -93.761110)"
Kulnine,55300,1886,-34.15,141.78333,"(-34.150000, 141.783330)"
Wellman (a),55000,1940,33.03333,-102.33333,"(33.033330, -102.333330)"
Rosebud,54900,1915,30.81667,-97.05,"(30.816670, -97.050000)"
Elenovka,54640,1951,47.83333,37.66667,"(47.833330, 37.666670)"
Aprel'sky,54600,1969,53.3,126.11667,"(53.300000, 126.116670)"
Markovka,54200,1967,52.4,79.8,"(52.400000, 79.800000)"
Veramin,54000,1880,35.33333,51.63333,"(35.333330, 51.633330)"
Chihuahua City,54000,1929,28.66667,-106.11667,"(28.666670, -106.116670)"
Dunganville,54000,1976,-42.55,171.35,"(-42.550000, 171.350000)"
Uwet,54000,1903,5.28333,8.25,"(5.283330, 8.250000)"
Northwest Africa 2740,53822,,,,
Kumerina,53500,1937,-24.91667,119.41667,"(-24.916670, 119.416670)"
Ruff's Mountain,53070,1844,34.3,-81.4,"(34.300000, -81.400000)"
Dalton,53000,1879,34.8,-84.98333,"(34.800000, -84.983330)"
